pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_CCR3_PATHWAY,0.636174636,0.899576455,0.06879431,-0.319956001,-0.874533563,16,
BIOCARTA_CCR5_PATHWAY,0.112185687,0.262076385,0.184706471,0.508010495,1.347426423,17,
BIOCARTA_CDMAC_PATHWAY,0.220729367,0.43355201,0.12687573,0.46504661,1.209401223,16,
BIOCARTA_CELLCYCLE_PATHWAY,0.101503759,0.241990847,0.19189224,0.470338902,1.364474209,23,
BIOCARTA_CERAMIDE_PATHWAY,0.09596929,0.23187684,0.199915231,0.488997112,1.373673179,21,
BIOCARTA_CHEMICAL_PATHWAY,0.105363985,0.248790079,0.190023305,0.507247935,1.363088841,18,
BIOCARTA_CHREBP_PATHWAY,0.737547893,0.982795662,0.057730855,0.302754217,0.813568407,18,
BIOCARTA_CK1_PATHWAY,0.752083333,0.988863334,0.060771945,-0.296503145,-0.792722009,15,
BIOCARTA_COMP_PATHWAY,1.30E-06,2.85E-05,0.643551836,0.84220795,2.19024782,16,
BIOCARTA_CREB_PATHWAY,0.98960499,1,0.047925897,-0.179445001,-0.531317331,21,
BIOCARTA_CSK_PATHWAY,3.23E-04,0.002757387,0.498493109,0.725770968,1.982859701,19,
BIOCARTA_CTCF_PATHWAY,1.56E-04,0.001544623,0.518848078,0.685517212,2.014103938,24,
BIOCARTA_CTLA4_PATHWAY,0.002453355,0.014453071,0.431707696,0.676114051,1.816869925,18,
BIOCARTA_CXCR4_PATHWAY,0.559160305,0.834302678,0.070960946,0.340065067,0.929082792,19,
BIOCARTA_DEATH_PATHWAY,0.010643548,0.046689698,0.380730401,0.536800338,1.649248256,29,
BIOCARTA_ECM_PATHWAY,0.088122605,0.217987497,0.208955028,0.51826972,1.392706846,18,
BIOCARTA_EDG1_PATHWAY,0.562620424,0.835675483,0.07113274,0.322957071,0.920467282,22,
BIOCARTA_EFP_PATHWAY,0.575815739,0.846984363,0.069779252,0.356361471,0.926754414,16,
BIOCARTA_EGF_PATHWAY,0.166037736,0.353950854,0.147331214,0.415708229,1.251487069,27,
BIOCARTA_EICOSANOID_PATHWAY,0.00567302,0.028659089,0.407017919,0.626181758,1.784694851,22,
BIOCARTA_EIF4_PATHWAY,0.778611632,1,0.054231594,0.266801321,0.783883443,24,
BIOCARTA_EIF_PATHWAY,0.821205821,1,0.056529953,-0.271943938,-0.743302518,16,
BIOCARTA_EPO_PATHWAY,0.196564885,0.396813063,0.135002034,0.450724251,1.231411828,19,
BIOCARTA_ERAD_PATHWAY,0.925572519,1,0.047069959,0.240112994,0.656006373,19,
BIOCARTA_ERK_PATHWAY,0.065691113,0.176908946,0.287805131,0.49631216,1.483441717,26,
BIOCARTA_ETS_PATHWAY,0.29787234,0.543438078,0.107140237,0.424198615,1.125127194,17,
BIOCARTA_FAS_PATHWAY,0.004637999,0.024479706,0.407017919,0.557497613,1.730121019,30,
BIOCARTA_FCER1_PATHWAY,0.012134837,0.051182994,0.380730401,0.518847254,1.703646068,38,
BIOCARTA_FMLP_PATHWAY,0.04623854,0.140207187,0.321775918,0.467141222,1.47661205,34,
BIOCARTA_G1_PATHWAY,0.012016891,0.050795168,0.380730401,0.550520145,1.676463517,28,
BIOCARTA_G2_PATHWAY,0.091932458,0.225081241,0.202071709,0.465699339,1.368261594,24,
BIOCARTA_GCR_PATHWAY,0.156673114,0.338743403,0.154190967,0.48668991,1.290876569,17,
BIOCARTA_GH_PATHWAY,0.069943289,0.18557534,0.234392647,0.471720197,1.409938091,26,
BIOCARTA_GLEEVEC_PATHWAY,0.135338346,0.303588517,0.164405756,0.450968325,1.308279296,23,
BIOCARTA_GPCR_PATHWAY,0.728782288,0.979064935,0.056529953,0.270489942,0.831044678,29,
BIOCARTA_GSK3_PATHWAY,0.032561054,0.107844832,0.321775918,0.564036452,1.57679618,20,
BIOCARTA_HCMV_PATHWAY,0.085106383,0.212855134,0.213927855,0.524461385,1.391060098,17,
BIOCARTA_HDAC_PATHWAY,0.971751412,1,0.044240742,0.203998039,0.605549385,25,
BIOCARTA_HER2_PATHWAY,0.046992481,0.140961274,0.287857117,0.521267438,1.512220171,23,
BIOCARTA_HIF_PATHWAY,0.172413793,0.361993716,0.145516146,0.498549832,1.275721922,15,
BIOCARTA_HIVNEF_PATHWAY,1.74E-04,0.001702896,0.518848078,0.549212281,1.940242968,56,
BIOCARTA_IGF1MTOR_PATHWAY,0.606870229,0.878948761,0.066896628,0.327700635,0.895302253,19,
BIOCARTA_IGF1R_PATHWAY,0.976878613,1,0.045044277,0.19152679,0.545874853,22,
BIOCARTA_IGF1_PATHWAY,0.182341651,0.376508806,0.14122512,0.44477313,1.249440752,21,
BIOCARTA_IL12_PATHWAY,0.043329995,0.133437458,0.321775918,0.586800457,1.556405723,17,
BIOCARTA_IL1R_PATHWAY,0.001080096,0.007252075,0.455059867,0.596398244,1.850844047,30,
BIOCARTA_IL2RB_PATHWAY,0.001417479,0.009144126,0.455059867,0.565291395,1.834151029,36,
BIOCARTA_IL2_PATHWAY,0.079096045,0.203037182,0.219250347,0.50799646,1.420133176,20,
BIOCARTA_IL6_PATHWAY,0.032031759,0.107001596,0.321775918,0.536180843,1.506220027,21,
BIOCARTA_IL7_PATHWAY,0.013358477,0.054936738,0.380730401,0.643073972,1.672379565,16,
BIOCARTA_INFLAM_PATHWAY,2.24E-04,0.002099368,0.518848078,0.707531159,1.987571199,21,
BIOCARTA_INSULIN_PATHWAY,0.153550864,0.333820931,0.155241966,0.457248219,1.284485325,21,
BIOCARTA_INTEGRIN_PATHWAY,0.900763359,1,0.048311758,0.229005701,0.715336902,33,
BIOCARTA_INTRINSIC_PATHWAY,0.012287633,0.051426077,0.380730401,0.610405096,1.667671648,19,
BIOCARTA_KERATINOCYTE_PATHWAY,0.029858054,0.102148698,0.352487858,0.442800886,1.517465258,46,
BIOCARTA_LAIR_PATHWAY,2.90E-04,0.002530236,0.498493109,0.757262407,1.969338256,16,
BIOCARTA_LIS1_PATHWAY,0.058577406,0.164016736,0.271288555,-0.509332337,-1.471441148,19,
BIOCARTA_MAL_PATHWAY,0.790794979,1,0.058593757,-0.264326995,-0.763630323,19,
BIOCARTA_MAPK_PATHWAY,0.363636364,0.623647421,0.090263548,0.276578896,1.037816362,81,
BIOCARTA_MCALPAIN_PATHWAY,0.162835249,0.349008449,0.150169802,0.502859991,1.286751037,15,
BIOCARTA_MCM_PATHWAY,0.459770115,0.73192436,0.081302735,0.373518113,1.003726848,18,
BIOCARTA_MEF2D_PATHWAY,0.717601547,0.974578039,0.059476029,0.308946455,0.81943704,17,
BIOCARTA_MET_PATHWAY,0.064885496,0.1749781,0.245041785,0.450458323,1.407080525,33,
BIOCARTA_MITOCHONDRIA_PATHWAY,0.025838651,0.091407699,0.352487858,0.580717284,1.586562361,19,
BIOCARTA_MPR_PATHWAY,0.655367232,0.9173378,0.062523741,0.307857483,0.860633211,20,
BIOCARTA_MTA3_PATHWAY,0.179883946,0.373779904,0.142901149,0.475538992,1.261300328,17,
BIOCARTA_MTOR_PATHWAY,0.961612284,1,0.04558782,0.213917894,0.60093049,21,
BIOCARTA_NDKDYNAMIN_PATHWAY,0.146391753,0.321801024,0.165656695,-0.469040473,-1.308448694,17,
BIOCARTA_NFAT_PATHWAY,0.001430987,0.009201197,0.455059867,0.530779093,1.824199895,47,
BIOCARTA_NFKB_PATHWAY,0.002988573,0.017050414,0.431707696,0.629982588,1.769724529,21,
BIOCARTA_NGF_PATHWAY,0.080152672,0.204684831,0.219250347,0.506754807,1.384491429,19,
BIOCARTA_NKCELLS_PATHWAY,0.007079213,0.033511668,0.407017919,0.639848118,1.788732031,20,
BIOCARTA_NKT_PATHWAY,1.84E-04,0.001783301,0.518848078,0.736588559,2.012414157,19,
BIOCARTA_NO1_PATHWAY,0.422641509,0.69006976,0.085042746,0.338161774,1.018033941,27,
BIOCARTA_NOS1_PATHWAY,0.064798737,0.1749781,0.287805131,-0.512583963,-1.486896383,20,
BIOCARTA_NTHI_PATHWAY,0.002716061,0.015631208,0.431707696,0.648011112,1.846911188,22,
BIOCARTA_NUCLEARRS_PATHWAY,0.45825603,0.730476495,0.079770592,0.322731532,1.001555154,30,
BIOCARTA_P38MAPK_PATHWAY,0.045207957,0.137963629,0.287857117,0.458692471,1.48827892,36,
BIOCARTA_P53HYPOXIA_PATHWAY,0.006290998,0.030814962,0.407017919,0.608922367,1.710562913,21,
BIOCARTA_P53_PATHWAY,0.051823417,0.150207025,0.276500599,0.572464579,1.488752625,16,
BIOCARTA_PAR1_PATHWAY,0.240458015,0.462635597,0.120433372,0.433353839,1.183954582,19,
BIOCARTA_PDGF_PATHWAY,0.158671587,0.341567843,0.149207542,0.414697681,1.262852121,28,
BIOCARTA_PDZS_PATHWAY,0.06185567,0.169892649,0.261663522,-0.526665956,-1.469202385,17,
BIOCARTA_PGC1A_PATHWAY,0.822916667,1,0.056529953,-0.276638208,-0.739611701,15,
BIOCARTA_PITX2_PATHWAY,0.071017274,0.187167022,0.234392647,0.547441446,1.423677411,16,
BIOCARTA_PML_PATHWAY,0.016639225,0.065299862,0.352487858,0.634592681,1.683167878,17,
BIOCARTA_PPARA_PATHWAY,0.024015892,0.086667955,0.352487858,0.435777994,1.514938334,49,
BIOCARTA_PROTEASOME_PATHWAY,0.801526718,1,0.05367696,0.281649367,0.769486799,19,
BIOCARTA_PTDINS_PATHWAY,0.988721805,1,0.043363699,0.18478017,0.536055544,23,
BIOCARTA_PTEN_PATHWAY,0.107279693,0.252407765,0.188204146,0.505593889,1.358644048,18,
BIOCARTA_PYK2_PATHWAY,0.94279661,1,0.051011413,-0.208571528,-0.652314551,27,
BIOCARTA_RAC1_PATHWAY,0.625235405,0.89112974,0.064794337,0.315265649,0.881343163,20,
BIOCARTA_RACCYCD_PATHWAY,0.139886578,0.311314663,0.161978949,0.429753527,1.284502703,26,
BIOCARTA_RAS_PATHWAY,0.302504817,0.549856822,0.105920293,0.397527027,1.133000808,22,
BIOCARTA_RELA_PATHWAY,0.048675273,0.143839802,0.321775918,0.587945125,1.504472445,15,
BIOCARTA_RHO_PATHWAY,0.297551789,0.543355441,0.105520937,0.403429316,1.12780974,20,
BIOCARTA_SHH_PATHWAY,0.046371145,0.140393621,0.321775918,0.594987523,1.522492993,15,
BIOCARTA_SPPA_PATHWAY,0.193857965,0.393699201,0.136490438,0.476442762,1.23903808,16,
BIOCARTA_SPRY_PATHWAY,0.477927063,0.752334947,0.079343496,0.38408814,0.998860449,16,
BIOCARTA_STATHMIN_PATHWAY,0.496183206,0.768811341,0.077073673,0.359438652,0.982012852,19,
BIOCARTA_STRESS_PATHWAY,0.061913696,0.169892649,0.248911114,0.496296174,1.458157523,24,
BIOCARTA_TCR_PATHWAY,0.012849862,0.053177415,0.380730401,0.480560745,1.627171554,44,
BIOCARTA_TEL_PATHWAY,0.087040619,0.215581157,0.211400189,0.523203807,1.387724548,17,
BIOCARTA_TFF_PATHWAY,0.033693584,0.110316415,0.321775918,0.561700198,1.570265048,20,
BIOCARTA_TGFB_PATHWAY,0.041603495,0.128723039,0.321775918,0.560726962,1.531947331,19,
BIOCARTA_TH1TH2_PATHWAY,2.46E-04,0.002259745,0.498493109,0.75911169,1.974147507,16,
BIOCARTA_TID_PATHWAY,0.00139628,0.009144126,0.455059867,0.692878505,1.861919769,18,
BIOCARTA_TNFR1_PATHWAY,0.278597786,0.518822669,0.108394256,0.373132299,1.146399786,29,
BIOCARTA_TNFR2_PATHWAY,0.007643696,0.035586451,0.407017919,0.664596413,1.728350872,16,
BIOCARTA_TOB1_PATHWAY,2.28E-05,3.47E-04,0.575610261,0.803331169,2.08914478,16,
BIOCARTA_TOLL_PATHWAY,0.005754052,0.02897576,0.407017919,0.592639178,1.759194797,25,
BIOCARTA_TPO_PATHWAY,0.722326454,0.976624945,0.057730855,0.277441365,0.815144735,24,
BIOCARTA_VDR_PATHWAY,0.812382739,1,0.052269332,0.258265358,0.758804106,24,
BIOCARTA_VEGF_PATHWAY,0.057017955,0.161251351,0.321775918,0.490523122,1.476716844,27,
BIOCARTA_VIP_PATHWAY,0.329566855,0.5839901,0.099233334,0.373416438,1.108452291,25,
BIOCARTA_WNT_PATHWAY,0.619136961,0.886277274,0.065087757,0.298443793,0.876851533,24,
KEGG_ABC_TRANSPORTERS,0.724820144,0.978354138,0.05559471,0.248711471,0.836390427,43,
KEGG_ACUTE_MYELOID_LEUKEMIA,0.144347826,0.31872775,0.152144922,0.353048618,1.25262656,57,
KEGG_ADHERENS_JUNCTION,0.00280833,0.01611524,0.431707696,0.468772411,1.717985659,68,
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.007404347,0.034635501,0.407017919,0.452204552,1.635839909,64,
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.897826087,1,0.054455595,-0.230293956,-0.724184958,28,
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.047272727,0.140961274,0.28201335,0.444378985,1.462463056,39,
KEGG_ALLOGRAFT_REJECTION,5.49E-07,1.37E-05,0.659444398,0.737161782,2.280721399,31,
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.600831601,0.87337377,0.071652737,-0.332185466,-0.907960277,16,
KEGG_ALZHEIMERS_DISEASE,0.859259259,1,0.062523741,-0.196913455,-0.849102303,148,
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.80952381,1,0.057005953,-0.25812681,-0.773386994,22,
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.745519713,0.988093785,0.054120057,0.247542841,0.825033871,41,
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.979130435,1,0.040247757,0.187392258,0.65827093,53,
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,3.54E-07,9.85E-06,0.67496286,0.61776104,2.256031816,67,
KEGG_APOPTOSIS,3.70E-05,5.22E-04,0.557332239,0.51675671,1.953166943,84,
KEGG_ARACHIDONIC_ACID_METABOLISM,0.687830688,0.947204404,0.057125851,0.251941275,0.876489633,50,
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.487719298,0.762278618,0.073621274,0.277871992,0.970905695,51,
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.03857054,0.122212273,0.321775918,0.381109712,1.415985334,74,
KEGG_ASTHMA,3.35E-08,1.35E-06,0.719512826,0.81881009,2.375404723,23,
KEGG_AUTOIMMUNE_THYROID_DISEASE,1.88E-05,2.95E-04,0.575610261,0.654169599,2.152889544,39,
KEGG_AXON_GUIDANCE,0.935042735,1,0.04157179,0.191201889,0.770204552,128,
KEGG_BASAL_CELL_CARCINOMA,0.00140245,0.009144126,0.455059867,0.495437972,1.74711806,54,
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.458490566,0.730476495,0.08063885,0.322505634,1.007203714,32,
KEGG_BASE_EXCISION_REPAIR,0.979245283,1,0.043975928,0.178240492,0.563410049,34,
KEGG_BETA_ALANINE_METABOLISM,0.774566474,1,0.055710423,0.275005113,0.783798317,22,
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.861995754,1,0.055249566,-0.2497703,-0.724530188,20,
KEGG_BLADDER_CANCER,0.013466143,0.055264379,0.380730401,0.497199925,1.636298175,39,
KEGG_BUTANOATE_METABOLISM,0.75161987,0.988863334,0.062523741,-0.260785464,-0.838198032,30,
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.72E-06,5.60E-05,0.62725674,0.570188746,2.121675678,75,
KEGG_CALCIUM_SIGNALING_PATHWAY,0.194871795,0.394945506,0.159646702,-0.254191288,-1.114404492,172,
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.573141487,0.844841012,0.081526514,-0.244809423,-0.934254681,73,
KEGG_CELL_ADHESION_MOLECULES_CAMS,4.85E-07,1.28E-05,0.659444398,0.518189156,2.064425883,119,
KEGG_CELL_CYCLE,0.001412284,0.009144126,0.455059867,0.414405789,1.661336623,124,
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.88E-10,1.55E-08,0.826657301,0.529639411,2.198942903,163,
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.005476137,0.027788934,0.407017919,0.445531451,1.65790216,73,
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.979704797,1,0.042931109,0.187496352,0.576057819,29,
KEGG_COLORECTAL_CANCER,0.040740686,0.126848761,0.321775918,0.400208459,1.439393351,62,
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,1.74E-10,1.49E-08,0.826657301,0.698499046,2.497677839,60,
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.20754717,0.413418883,0.130105631,0.379598398,1.199893184,34,
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,5.57E-26,3.67E-23,1.318888796,0.65786201,2.787497618,198,
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.006998885,0.033371494,0.407017919,0.486418077,1.666940055,46,
KEGG_DILATED_CARDIOMYOPATHY,0.305025997,0.550994774,0.098890301,0.281731324,1.07203981,88,
KEGG_DNA_REPLICATION,0.593128391,0.86472337,0.06538342,0.282746278,0.917401858,36,
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.560150376,0.834330461,0.070113216,0.318372666,0.923613356,23,
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.034882606,0.112810152,0.321775918,0.4555352,1.531916795,43,
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.128544423,0.293348777,0.169570644,0.414250633,1.28165934,31,
KEGG_ECM_RECEPTOR_INTERACTION,2.81E-04,0.002500082,0.498493109,0.489126917,1.833833842,80,
KEGG_ENDOCYTOSIS,0.047154472,0.140961274,0.266350657,0.311176772,1.307118991,177,
KEGG_ENDOMETRIAL_CANCER,0.094827586,0.230245578,0.190023305,0.372694828,1.311187235,52,
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.052724077,0.152159837,0.261663522,0.383551986,1.394089161,65,
KEGG_ERBB_SIGNALING_PATHWAY,0.784210526,1,0.050805414,0.218556861,0.828469954,85,
KEGG_ETHER_LIPID_METABOLISM,0.849576271,1,0.055826472,-0.243517793,-0.761610184,27,
KEGG_FATTY_ACID_METABOLISM,0.06,0.167288136,0.248911114,0.427937416,1.408353417,39,
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.167521368,0.355195682,0.138805109,0.324696949,1.208255378,73,
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,6.13E-05,7.47E-04,0.538434096,0.484399428,1.847335936,92,
KEGG_FOCAL_ADHESION,1.87E-06,3.93E-05,0.643551836,0.434296084,1.834785124,193,
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.361781076,0.622086972,0.092848121,0.346158273,1.074256983,30,
KEGG_GALACTOSE_METABOLISM,0.082551595,0.208384716,0.213927855,0.478735141,1.406561814,24,
KEGG_GAP_JUNCTION,0.83062645,1,0.061169263,-0.208546894,-0.826435334,86,
KEGG_GLIOMA,0.968309859,1,0.041320951,0.194016209,0.70184932,64,
KEGG_GLUTATHIONE_METABOLISM,0.968397291,1,0.052697309,-0.189025258,-0.672250952,44,
KEGG_GLYCEROLIPID_METABOLISM,0.929046563,1,0.053787281,-0.210074117,-0.71728454,37,
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.482915718,0.757168885,0.088094501,-0.257636038,-0.979914031,67,
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.793357934,1,0.052589895,0.253899933,0.780074065,29,
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.064347826,0.174242262,0.234392647,0.393034553,1.380650533,53,
EGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.156069364,0.337808032,0.154190967,0.447362582,1.275038256,22,
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.562367865,0.835675483,0.07588869,-0.305923502,-0.945906639,26,
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.812977099,1,0.053021251,0.279408476,0.76336452,19,
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.997916667,1,0.047638726,-0.162080112,-0.433332578,15,
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.429672447,0.697511028,0.085288469,0.357171451,1.017982463,22,
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.942430704,1,0.051322333,-0.217651665,-0.658718409,24,
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.785416667,1,0.058718588,-0.287964218,-0.769892586,15,
KEGG_GNRH_SIGNALING_PATHWAY,1,1,0.038796221,0.156432266,0.599310517,94,
KEGG_GRAFT_VERSUS_HOST_DISEASE,1.95E-07,6.03E-06,0.690132459,0.748972423,2.317262606,31,
KEGG_HEDGEHOG_SIGNALING_PATHWAY,4.81E-05,6.09E-04,0.557332239,0.568005009,2.003019281,54,
KEGG_HEMATOPOIETIC_CELL_LINEAGE,1.88E-11,2.06E-09,0.863415392,0.689369654,2.547510933,71,
KEGG_HISTIDINE_METABOLISM,0.613107822,0.88148204,0.071478629,-0.299249168,-0.925269791,26,
KEGG_HOMOLOGOUS_RECOMBINATION,0.415879017,0.682916985,0.086034724,0.346313275,1.035105727,26,
KEGG_HUNTINGTONS_DISEASE,0.939698492,1,0.05909548,-0.182072924,-0.790920878,161,
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.291519435,0.537080224,0.102821843,0.291672803,1.098166042,82,
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.110344828,0.258387532,0.175204048,0.365338793,1.28530778,52,
KEGG_INSULIN_SIGNALING_PATHWAY,0.027359139,0.096097759,0.352487858,0.340473961,1.376613693,131,
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,9.20E-09,4.66E-07,0.747739663,0.740406225,2.431139695,38,
KEGG_JAK_STAT_SIGNALING_PATHWAY,6.19E-07,1.51E-05,0.659444398,0.510020212,2.027427823,118,
KEGG_LEISHMANIA_INFECTION,9.30E-14,1.84E-11,0.954541631,0.730464919,2.677052287,68,
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,2.36E-06,4.90E-05,0.62725674,0.516897708,2.007136939,106,
KEGG_LINOLEIC_ACID_METABOLISM,0.629699248,0.894263537,0.064358337,0.302524021,0.877635727,23,
KEGG_LONG_TERM_DEPRESSION,0.88221709,1,0.058098358,-0.204037222,-0.770268906,65,
KEGG_LONG_TERM_POTENTIATION,0.671201814,0.931752729,0.070450085,-0.232109798,-0.886766624,68,
KEGG_LYSINE_DEGRADATION,0.332727273,0.586955886,0.096562955,0.324648594,1.068427157,39,
KEGG_LYSOSOME,0.787826087,1,0.050193425,0.215435994,0.854637826,117,
KEGG_MAPK_SIGNALING_PATHWAY,0.046728972,0.140614315,0.261663522,0.294446842,1.285938988,254,
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.002690144,0.015572859,0.431707696,0.672500228,1.83732012,19,
KEGG_MELANOGENESIS,0.414507772,0.681428304,0.081302735,0.266354938,1.022579452,97,
KEGG_MELANOMA,0.020114192,0.07535926,0.352487858,0.42308474,1.537778117,65,
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.029747854,0.102148698,0.352487858,0.475779965,1.584780913,40,
KEGG_MISMATCH_REPAIR,0.971804511,1,0.044152306,0.203755408,0.59110356,23,
KEGG_MTOR_SIGNALING_PATHWAY,0.082892416,0.208711262,0.206587923,0.38346307,1.334046621,50,
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,8.49E-07,2.00E-05,0.659444398,0.512792445,2.019835476,113,
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.2336,0.452528361,0.110564716,0.253661289,1.098816724,242,
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.763793103,0.99717433,0.051218435,0.214731874,0.859025846,123,
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.305816135,0.551810832,0.103576327,0.385149002,1.131598314,24,
KEGG_NITROGEN_METABOLISM,0.645472062,0.908817297,0.064358337,0.309065876,0.880875672,22,
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.66E-05,2.66E-04,0.575610261,0.584598324,2.065253867,56,
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.270979021,0.507989162,0.106729884,0.318220914,1.122177827,54,
KEGG_NOTCH_SIGNALING_PATHWAY,0.103690685,0.24562237,0.183023938,0.38569189,1.321754455,46,
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.967625899,1,0.042331839,0.19683762,0.66194414,43,
KEGG_N_GLYCAN_BIOSYNTHESIS,0.987697715,1,0.04032954,0.178936199,0.613208949,46,
KEGG_OLFACTORY_TRANSDUCTION,0.020212665,0.075567805,0.352487858,-0.397565849,-1.500866402,65,
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.568665377,0.840336277,0.070789909,0.352107515,0.933915685,17,
KEGG_OOCYTE_MEIOSIS,0.979202773,1,0.040084563,0.176159101,0.684033674,106,
KEGG_OTHER_GLYCAN_DEGRADATION,0.822916667,1,0.056529953,-0.276023577,-0.737968443,15,
